Gene stable ID	AFFY HuEx 1 0 st v2 probe	ILLUMINA HumanWG 6 V3 probe
ENSG00000262352	3775594	
ENSG00000262352	3775597	
ENSG00000262352	3775596	
ENSG00000263305	3273170	
ENSG00000263305	3795630	
ENSG00000263305	2576659	
ENSG00000263305	3795631	
ENSG00000262181	2713747	
ENSG00000173213	2660089	
ENSG00000173213	3273182	
ENSG00000173213	3795643	
ENSG00000173213	3195781	
ENSG00000173213	3795639	
ENSG00000173213	2798382	
ENSG00000173213	2798383	
ENSG00000173213	3795636	
ENSG00000173213	3195776	
ENSG00000173213	3795638	
ENSG00000173213	3273186	
ENSG00000173213	3273181	
ENSG00000173213	3674543	
ENSG00000173213	2798367	
ENSG00000173213	3195769	
ENSG00000173213	3795637	
ENSG00000173213	3795635	
ENSG00000173213	2660087	
ENSG00000173213	2798375	
ENSG00000173213	2798378	
ENSG00000173213	3273188	
ENSG00000173213	3795647	
ENSG00000173213	3674539	
ENSG00000173213	3195777	
ENSG00000173213	3795648	
ENSG00000173213	3795645	
ENSG00000173213	3795640	
ENSG00000173213	3674548	
ENSG00000173213	4050502	
ENSG00000173213	3273180	
ENSG00000173213	2798368	
ENSG00000173213	3795641	
ENSG00000173213	2798374	
ENSG00000173213	3195774	
ENSG00000173213	3674542	
ENSG00000173213	3195771	
ENSG00000173213	3795644	
ENSG00000173213	2798377	
ENSG00000173213	2798370	
ENSG00000173213	3795642	
ENSG00000282965	2798379	
ENSG00000282965	3795643	
ENSG00000282965	2798382	
ENSG00000282965	2798383	
ENSG00000282965	3674543	
ENSG00000282965	3195769	
ENSG00000282965	3795646	
ENSG00000282965	2798375	
ENSG00000282965	2798378	
ENSG00000282965	3273188	
ENSG00000282965	3795647	
ENSG00000282965	3674539	
ENSG00000282965	3795648	
ENSG00000282965	3795645	
ENSG00000282965	2798374	
ENSG00000282965	3674542	
ENSG00000282965	3195771	
ENSG00000282965	3795644	
ENSG00000282965	2798377	
ENSG00000282965	3795642	
ENSG00000282965	3195766	
ENSG00000262081	3795660	
ENSG00000262081	4032793	
ENSG00000262081	3996980	
ENSG00000262081	3273207	
ENSG00000262081	3996997	
ENSG00000262081	3795655	
ENSG00000262081	3195746	
ENSG00000262081	3795663	
ENSG00000262081	3195745	
ENSG00000262081	3674827	
ENSG00000262081	3795662	
ENSG00000262081	3195744	
ENSG00000262081	3795661	
ENSG00000262081	3674825	
ENSG00000262081	3795659	
ENSG00000262081	3795654	
ENSG00000262081	3195754	
ENSG00000262081	3195747	
ENSG00000262081	3795665	
ENSG00000262081	3996983	
ENSG00000262081	3795664	
ENSG00000262081	4032807	
ENSG00000262081	3795657	
ENSG00000262081	3795653	
ENSG00000262081	4032790	
ENSG00000262081	3195752	
ENSG00000262081	3674839	
ENSG00000262081	3674836	
ENSG00000274446	3195786	
ENSG00000274446	3795667	
ENSG00000274446	3195785	
ENSG00000263006	3775671	ILMN_1814311
ENSG00000263006	3775657	ILMN_1814311
ENSG00000263006	3800631	ILMN_1814311
ENSG00000263006	3800630	ILMN_1814311
ENSG00000263006	3800632	ILMN_1814311
ENSG00000263006	3800622	ILMN_1814311
ENSG00000263006	3800633	ILMN_1814311
ENSG00000263006	3775670	ILMN_1814311
ENSG00000263006	3775669	ILMN_1814311
ENSG00000263006	3775676	ILMN_1814311
ENSG00000263006	3800623	ILMN_1814311
ENSG00000263006	3775672	ILMN_1814311
ENSG00000263006	3800620	ILMN_1814311
ENSG00000263006	3800628	ILMN_1814311
ENSG00000263006	3775674	ILMN_1814311
ENSG00000263006	3775666	ILMN_1814311
ENSG00000263006	3775673	ILMN_1814311
ENSG00000263006	3775658	ILMN_1814311
ENSG00000263006	3775667	ILMN_1814311
ENSG00000263006	3800624	ILMN_1814311
ENSG00000263006	3775668	ILMN_1814311
ENSG00000263006	3775655	ILMN_1814311
ENSG00000263006	3775663	
ENSG00000263006	3800631	
ENSG00000263006	3800630	
ENSG00000263006	3800632	
ENSG00000263006	3800633	
ENSG00000263006	3775670	
ENSG00000263006	3775661	
ENSG00000263006	3775669	
ENSG00000263006	3800627	
ENSG00000263006	3775660	
ENSG00000263006	3775662	
ENSG00000263006	3800628	
ENSG00000263006	3775666	
ENSG00000263006	3775667	
ENSG00000263006	3775668	
ENSG00000263006	3775665	
ENSG00000277521	2756211	
ENSG00000277521	3273150	
ENSG00000277521	2756149	
ENSG00000277521	2756174	
ENSG00000277521	2756131	
ENSG00000277521	4038049	
ENSG00000277521	2756197	
ENSG00000277521	3273099	
ENSG00000277521	2756138	
ENSG00000277521	3273132	
ENSG00000277521	4038051	
ENSG00000277521	4038019	
ENSG00000277521	3273140	
ENSG00000277521	2756160	
ENSG00000277521	4038037	
ENSG00000277521	3273105	
ENSG00000277521	4038035	
ENSG00000277521	3273115	
ENSG00000277521	3273123	
ENSG00000277521	2756187	
ENSG00000277521	4038029	
ENSG00000101557	3775717	
ENSG00000101557	3775687	
ENSG00000101557	3775710	
ENSG00000101557	3775719	
ENSG00000101557	3775714	
ENSG00000101557	3775692	
ENSG00000101557	3775706	
ENSG00000101557	3775704	
ENSG00000101557	3775712	
ENSG00000101557	3775708	
ENSG00000101557	3775705	
ENSG00000101557	3775697	
ENSG00000101557	3775707	
ENSG00000101557	3775721	
ENSG00000101557	3775688	
ENSG00000101557	3775695	
ENSG00000101557	3775693	
ENSG00000101557	3775694	
ENSG00000101557	3775691	
ENSG00000101557	3775718	ILMN_2402947
ENSG00000101557	3775717	ILMN_2402947
ENSG00000101557	3775687	ILMN_2402947
ENSG00000101557	3775710	ILMN_2402947
ENSG00000101557	3775719	ILMN_2402947
ENSG00000101557	3775714	ILMN_2402947
ENSG00000101557	3775692	ILMN_2402947
ENSG00000101557	3775706	ILMN_2402947
ENSG00000101557	3775704	ILMN_2402947
ENSG00000101557	3775722	ILMN_2402947
ENSG00000101557	3775712	ILMN_2402947
ENSG00000101557	3775708	ILMN_2402947
ENSG00000101557	3775705	ILMN_2402947
ENSG00000101557	3775723	ILMN_2402947
ENSG00000101557	3775697	ILMN_2402947
ENSG00000101557	3775707	ILMN_2402947
ENSG00000101557	3775721	ILMN_2402947
ENSG00000101557	3775688	ILMN_2402947
ENSG00000101557	3775695	ILMN_2402947
ENSG00000101557	3775693	ILMN_2402947
ENSG00000101557	3775718	ILMN_1806804
ENSG00000101557	3775717	ILMN_1806804
ENSG00000101557	3775687	ILMN_1806804
ENSG00000101557	3775710	ILMN_1806804
