Gene stable ID	HGNC symbol	GO term name	miRBase accession	Karyotype band	GO term accession
ENSG00000262352	LINC02564			p11.32	
ENSG00000263305				p11.32	
ENSG00000262181				p11.32	
ENSG00000173213	TUBB8B	GTP binding		p11.32	GO:0005525
ENSG00000173213	TUBB8B	microtubule-based process		p11.32	GO:0007017
ENSG00000173213	TUBB8B	microtubule		p11.32	GO:0005874
ENSG00000173213	TUBB8B	GTPase activity		p11.32	GO:0003924
ENSG00000173213	TUBB8B	structural constituent of cytoskeleton		p11.32	GO:0005200
ENSG00000173213	TUBB8B	cytoplasm		p11.32	GO:0005737
ENSG00000173213	TUBB8B	nucleotide binding		p11.32	GO:0000166
ENSG00000173213	TUBB8B	cytoskeleton		p11.32	GO:0005856
ENSG00000173213	TUBB8B	microtubule cytoskeleton organization		p11.32	GO:0000226
ENSG00000173213	TUBB8B	extracellular exosome		p11.32	GO:0070062
ENSG00000173213	TUBB8B	mitotic cell cycle		p11.32	GO:0000278
ENSG00000173213	TUBB8B			p11.32	
ENSG00000282965				p11.32	
ENSG00000262081	IL9RP4			p11.32	
ENSG00000274446				p11.32	
ENSG00000263006	ROCK1P1			p11.32	
ENSG00000277521	MIR8078		MI0025914	p11.32	
ENSG00000101557	USP14	protein binding		p11.32	GO:0005515
ENSG00000101557	USP14	ubiquitin-dependent protein catabolic process		p11.32	GO:0006511
ENSG00000101557	USP14	thiol-dependent ubiquitinyl hydrolase activity		p11.32	GO:0036459
ENSG00000101557	USP14	protein deubiquitination		p11.32	GO:0016579
ENSG00000101557	USP14	cytoplasm		p11.32	GO:0005737
ENSG00000101557	USP14	membrane		p11.32	GO:0016020
ENSG00000101557	USP14	cytosol		p11.32	GO:0005829
ENSG00000101557	USP14	plasma membrane		p11.32	GO:0005886
ENSG00000101557	USP14	thiol-dependent ubiquitin-specific protease activity		p11.32	GO:0004843
ENSG00000101557	USP14	peptidase activity		p11.32	GO:0008233
ENSG00000101557	USP14	cysteine-type peptidase activity		p11.32	GO:0008234
ENSG00000101557	USP14	proteolysis		p11.32	GO:0006508
ENSG00000101557	USP14	hydrolase activity		p11.32	GO:0016787
ENSG00000101557	USP14	cytoplasmic vesicle		p11.32	GO:0031410
ENSG00000101557	USP14	negative regulation of endopeptidase activity		p11.32	GO:0010951
ENSG00000101557	USP14	immune system process		p11.32	GO:0002376
ENSG00000101557	USP14	innate immune response		p11.32	GO:0045087
ENSG00000101557	USP14	proteasome complex		p11.32	GO:0000502
ENSG00000101557	USP14	cell surface		p11.32	GO:0009986
ENSG00000101557	USP14	nucleus		p11.32	GO:0005634
ENSG00000101557	USP14	extracellular exosome		p11.32	GO:0070062
ENSG00000101557	USP14	proteasome binding		p11.32	GO:0070628
ENSG00000101557	USP14	regulation of proteasomal protein catabolic process		p11.32	GO:0061136
ENSG00000101557	USP14	cysteine-type endopeptidase activity		p11.32	GO:0004197
ENSG00000101557	USP14	endopeptidase inhibitor activity		p11.32	GO:0004866
ENSG00000101557	USP14	regulation of chemotaxis		p11.32	GO:0050920
ENSG00000101557	USP14	negative regulation of ER-associated ubiquitin-dependent protein catabolic process		p11.32	GO:1903070
ENSG00000101557	USP14			p11.32	
ENSG00000101557	USP14	chemical synaptic transmission		p11.32	GO:0007268
ENSG00000101557	USP14	synapse		p11.32	GO:0045202
ENSG00000079134	THOC1			p11.32	
ENSG00000079134	THOC1	protein binding		p11.32	GO:0005515
ENSG00000079134	THOC1	signal transduction		p11.32	GO:0007165
ENSG00000079134	THOC1	mRNA processing		p11.32	GO:0006397
ENSG00000079134	THOC1	RNA splicing		p11.32	GO:0008380
ENSG00000079134	THOC1	nucleus		p11.32	GO:0005634
ENSG00000079134	THOC1	RNA binding		p11.32	GO:0003723
ENSG00000079134	THOC1	mRNA transport		p11.32	GO:0051028
ENSG00000079134	THOC1	cytoplasm		p11.32	GO:0005737
ENSG00000079134	THOC1	nuclear speck		p11.32	GO:0016607
ENSG00000079134	THOC1	apoptotic process		p11.32	GO:0006915
ENSG00000079134	THOC1	DNA binding		p11.32	GO:0003677
ENSG00000079134	THOC1	nucleoplasm		p11.32	GO:0005654
ENSG00000079134	THOC1	mRNA export from nucleus		p11.32	GO:0006406
ENSG00000079134	THOC1	nuclear matrix		p11.32	GO:0016363
ENSG00000079134	THOC1	replication fork processing		p11.32	GO:0031297
ENSG00000079134	THOC1	nuclear chromosome, telomeric region		p11.32	GO:0000784
ENSG00000079134	THOC1	RNA export from nucleus		p11.32	GO:0006405
ENSG00000079134	THOC1	mRNA 3'-end processing		p11.32	GO:0031124
ENSG00000079134	THOC1	positive regulation of DNA-templated transcription, elongation		p11.32	GO:0032786
ENSG00000079134	THOC1	RNA processing		p11.32	GO:0006396
ENSG00000079134	THOC1	negative regulation of DNA damage checkpoint		p11.32	GO:2000002
ENSG00000079134	THOC1	transcription export complex		p11.32	GO:0000346
ENSG00000079134	THOC1	regulation of DNA-templated transcription, elongation		p11.32	GO:0032784
ENSG00000079134	THOC1	viral mRNA export from host cell nucleus		p11.32	GO:0046784
ENSG00000079134	THOC1	THO complex		p11.32	GO:0000347
ENSG00000079134	THOC1	THO complex part of transcription export complex		p11.32	GO:0000445
ENSG00000079134	THOC1	regulation of DNA recombination		p11.32	GO:0000018
ENSG00000079134	THOC1	negative regulation of isotype switching to IgA isotypes		p11.32	GO:0048297
ENSG00000263884				p11.32	
ENSG00000158270	COLEC12			p11.32	
ENSG00000158270	COLEC12	membrane		p11.32	GO:0016020
ENSG00000158270	COLEC12	integral component of membrane		p11.32	GO:0016021
ENSG00000158270	COLEC12	metal ion binding		p11.32	GO:0046872
ENSG00000158270	COLEC12	carbohydrate binding		p11.32	GO:0030246
ENSG00000158270	COLEC12	collagen trimer		p11.32	GO:0005581
ENSG00000158270	COLEC12	innate immune response		p11.32	GO:0045087
ENSG00000158270	COLEC12	extracellular space		p11.32	GO:0005615
ENSG00000158270	COLEC12	receptor-mediated endocytosis		p11.32	GO:0006898
ENSG00000158270	COLEC12	regulation of immune response		p11.32	GO:0050776
ENSG00000158270	COLEC12	plasma membrane		p11.32	GO:0005886
ENSG00000158270	COLEC12	defense response		p11.32	GO:0006952
ENSG00000158270	COLEC12	defense response to bacterium		p11.32	GO:0042742
ENSG00000158270	COLEC12	extracellular matrix		p11.32	GO:0031012
ENSG00000158270	COLEC12	scavenger receptor activity		p11.32	GO:0005044
ENSG00000158270	COLEC12	pattern recognition receptor activity		p11.32	GO:0038187
ENSG00000158270	COLEC12	endocytic vesicle membrane		p11.32	GO:0030666
ENSG00000158270	COLEC12	phagocytosis, recognition		p11.32	GO:0006910
ENSG00000158270	COLEC12	cellular response to exogenous dsRNA		p11.32	GO:0071360
ENSG00000158270	COLEC12	positive regulation of cell adhesion molecule production		p11.32	GO:0060355
ENSG00000158270	COLEC12	low-density lipoprotein particle binding		p11.32	GO:0030169
ENSG00000158270	COLEC12	galactose binding		p11.32	GO:0005534
ENSG00000158270	COLEC12	immune response		p11.32	GO:0006955
ENSG00000158270	COLEC12	carbohydrate mediated signaling		p11.32	GO:0009756
ENSG00000158270	COLEC12	toll-like receptor 3 signaling pathway		p11.32	GO:0034138
ENSG00000264514				p11.32	
ENSG00000265477				p11.32	
ENSG00000264265	LINC01925			p11.32	
ENSG00000177143	CETN1	calcium ion binding		p11.32	GO:0005509
ENSG00000177143	CETN1	cytoplasm		p11.32	GO:0005737
ENSG00000177143	CETN1	metal ion binding		p11.32	GO:0046872
ENSG00000177143	CETN1	cell cycle		p11.32	GO:0007049
ENSG00000177143	CETN1	cytoskeleton		p11.32	GO:0005856
ENSG00000177143	CETN1	cilium		p11.32	GO:0005929
ENSG00000177143	CETN1	cell division		p11.32	GO:0051301
ENSG00000177143	CETN1	cell projection		p11.32	GO:0042995
ENSG00000177143	CETN1	protein binding		p11.32	GO:0005515
ENSG00000177143	CETN1	microtubule organizing center		p11.32	GO:0005815
ENSG00000177143	CETN1	spindle pole		p11.32	GO:0000922
ENSG00000177143	CETN1	centrosome		p11.32	GO:0005813
ENSG00000177143	CETN1	microtubule binding		p11.32	GO:0008017
ENSG00000177143	CETN1	G-protein beta/gamma-subunit complex binding		p11.32	GO:0031683
ENSG00000177143	CETN1	heterotrimeric G-protein binding		p11.32	GO:0032795
ENSG00000177143	CETN1	cellular response to heat		p11.32	GO:0034605
ENSG00000177143	CETN1	photoreceptor connecting cilium		p11.32	GO:0032391
ENSG00000177143	CETN1	mitotic cell cycle		p11.32	GO:0000278
ENSG00000177143	CETN1	centriole		p11.32	GO:0005814
ENSG00000177143	CETN1	centriole replication		p11.32	GO:0007099
ENSG00000177143	CETN1	nucleotide-excision repair		p11.32	GO:0006289
ENSG00000222174	RN7SKP146			p11.32	
ENSG00000079101	CLUL1	extracellular region		p11.32	GO:0005576
ENSG00000079101	CLUL1			p11.32	
ENSG00000079101	CLUL1	nucleus		p11.32	GO:0005634
ENSG00000079101	CLUL1	extracellular space		p11.32	GO:0005615
ENSG00000079101	CLUL1	misfolded protein binding		p11.32	GO:0051787
ENSG00000288533				p11.32	
ENSG00000176912	TYMSOS			p11.32	
ENSG00000266456				p11.32	
ENSG00000263727				p11.32	
ENSG00000176890	TYMS	thymidylate synthase activity		p11.32	GO:0004799
ENSG00000176890	TYMS	dTMP biosynthetic process		p11.32	GO:0006231
ENSG00000176890	TYMS	nucleus		p11.32	GO:0005634
ENSG00000176890	TYMS	cytoplasm		p11.32	GO:0005737
ENSG00000176890	TYMS	membrane		p11.32	GO:0016020
ENSG00000176890	TYMS	transferase activity		p11.32	GO:0016740
ENSG00000176890	TYMS	methyltransferase activity		p11.32	GO:0008168
ENSG00000176890	TYMS	methylation		p11.32	GO:0032259
ENSG00000176890	TYMS	nucleotide biosynthetic process		p11.32	GO:0009165
ENSG00000176890	TYMS	mitochondrial inner membrane		p11.32	GO:0005743
ENSG00000176890	TYMS	mitochondrion		p11.32	GO:0005739
ENSG00000176890	TYMS	mitochondrial matrix		p11.32	GO:0005759
ENSG00000176890	TYMS	cytosol		p11.32	GO:0005829
ENSG00000176890	TYMS	nucleobase-containing small molecule interconversion		p11.32	GO:0015949
ENSG00000176890	TYMS	DNA biosynthetic process		p11.32	GO:0071897
ENSG00000176890	TYMS	regulation of transcription involved in G1/S transition of mitotic cell cycle		p11.32	GO:0000083
ENSG00000176890	TYMS	response to organophosphorus		p11.32	GO:0046683
ENSG00000176890	TYMS	translation repressor activity, mRNA regulatory element binding		p11.32	GO:0000900
ENSG00000176890	TYMS	folic acid binding		p11.32	GO:0005542
ENSG00000176890	TYMS	sequence-specific mRNA binding		p11.32	GO:1990825
ENSG00000176890	TYMS	negative regulation of translation		p11.32	GO:0017148
ENSG00000176890	TYMS	mRNA binding		p11.32	GO:0003729
ENSG00000176890	TYMS	drug binding		p11.32	GO:0008144
ENSG00000176890	TYMS	protein homodimerization activity		p11.32	GO:0042803
ENSG00000176890	TYMS	pyrimidine nucleobase metabolic process		p11.32	GO:0006206
ENSG00000176890	TYMS	dTTP biosynthetic process		p11.32	GO:0006235
ENSG00000176890	TYMS	regulation of translation		p11.32	GO:0006417
ENSG00000176890	TYMS	aging		p11.32	GO:0007568
ENSG00000176890	TYMS	circadian rhythm		p11.32	GO:0007623
ENSG00000176890	TYMS	response to toxic substance		p11.32	GO:0009636
ENSG00000176890	TYMS	response to organic cyclic compound		p11.32	GO:0014070
ENSG00000176890	TYMS	modulation by virus of host process		p11.32	GO:0019048
ENSG00000176890	TYMS	uracil metabolic process		p11.32	GO:0019860
ENSG00000176890	TYMS	response to progesterone		p11.32	GO:0032570
ENSG00000176890	TYMS	response to vitamin A		p11.32	GO:0033189
ENSG00000176890	TYMS	response to cytokine		p11.32	GO:0034097
ENSG00000176890	TYMS	tetrahydrofolate interconversion		p11.32	GO:0035999
ENSG00000176890	TYMS	response to drug		p11.32	GO:0042493
ENSG00000176890	TYMS	response to ethanol		p11.32	GO:0045471
ENSG00000176890	TYMS	tetrahydrofolate metabolic process		p11.32	GO:0046653
ENSG00000176890	TYMS	developmental growth		p11.32	GO:0048589
ENSG00000176890	TYMS	cartilage development		p11.32	GO:0051216
ENSG00000176890	TYMS	response to glucocorticoid		p11.32	GO:0051384
ENSG00000176890	TYMS	response to folic acid		p11.32	GO:0051593
ENSG00000176890	TYMS	intestinal epithelial cell maturation		p11.32	GO:0060574
ENSG00000176890	TYMS	liver regeneration		p11.32	GO:0097421
ENSG00000176890	TYMS	nucleolus		p11.32	GO:0005730
ENSG00000176890	TYMS			p11.32	
ENSG00000132199	ENOSF1			p11.32	
ENSG00000132199	ENOSF1	cellular amino acid catabolic process		p11.32	GO:0009063
ENSG00000132199	ENOSF1	L-fuconate dehydratase activity		p11.32	GO:0050023
ENSG00000132199	ENOSF1	carbohydrate catabolic process		p11.32	GO:0016052
ENSG00000132199	ENOSF1	metal ion binding		p11.32	GO:0046872
ENSG00000132199	ENOSF1	isomerase activity		p11.32	GO:0016853
ENSG00000132199	ENOSF1	lyase activity		p11.32	GO:0016829
ENSG00000132199	ENOSF1	mitochondrion		p11.32	GO:0005739
ENSG00000132199	ENOSF1	magnesium ion binding		p11.32	GO:0000287
ENSG00000132199	ENOSF1	cellular_component		p11.32	GO:0005575
ENSG00000132199	ENOSF1	hydro-lyase activity		p11.32	GO:0016836
ENSG00000132199	ENOSF1	cellular carbohydrate catabolic process		p11.32	GO:0044275
ENSG00000265490				p11.32	
ENSG00000176105	YES1	ATP binding		p11.32	GO:0005524
ENSG00000176105	YES1	protein binding		p11.32	GO:0005515
ENSG00000176105	YES1	protein phosphorylation		p11.32	GO:0006468
ENSG00000176105	YES1	protein kinase activity		p11.32	GO:0004672
ENSG00000176105	YES1	protein tyrosine kinase activity		p11.32	GO:0004713
ENSG00000176105	YES1	cytoplasm		p11.32	GO:0005737
ENSG00000176105	YES1	nucleotide binding		p11.32	GO:0000166
ENSG00000176105	YES1	kinase activity		p11.32	GO:0016301
ENSG00000176105	YES1	transferase activity		p11.32	GO:0016740
ENSG00000176105	YES1	phosphorylation		p11.32	GO:0016310
ENSG00000176105	YES1	cytosol		p11.32	GO:0005829
ENSG00000176105	YES1	plasma membrane		p11.32	GO:0005886
ENSG00000176105	YES1	peptidyl-tyrosine phosphorylation		p11.32	GO:0018108
ENSG00000176105	YES1	non-membrane spanning protein tyrosine kinase activity		p11.32	GO:0004715
ENSG00000176105	YES1	epidermal growth factor receptor binding		p11.32	GO:0005154
ENSG00000176105	YES1	regulation of glucose transmembrane transport		p11.32	GO:0010827
ENSG00000176105	YES1	cellular response to platelet-derived growth factor stimulus		p11.32	GO:0036120
ENSG00000176105	YES1	positive regulation of transcription by RNA polymerase II		p11.32	GO:0045944
ENSG00000176105	YES1	protein autophosphorylation		p11.32	GO:0046777
ENSG00000176105	YES1	positive regulation of peptidyl-tyrosine phosphorylation		p11.32	GO:0050731
ENSG00000176105	YES1	cellular response to retinoic acid		p11.32	GO:0071300
ENSG00000176105	YES1	cellular response to transforming growth factor beta stimulus		p11.32	GO:0071560
ENSG00000176105	YES1	actin filament		p11.32	GO:0005884
ENSG00000176105	YES1	glutamatergic synapse		p11.32	GO:0098978
ENSG00000176105	YES1	postsynaptic specialization, intracellular component		p11.32	GO:0099091
ENSG00000176105	YES1	membrane		p11.32	GO:0016020
ENSG00000176105	YES1	cytoskeleton		p11.32	GO:0005856
ENSG00000176105	YES1	Golgi apparatus		p11.32	GO:0005794
ENSG00000176105	YES1	focal adhesion		p11.32	GO:0005925
ENSG00000176105	YES1	microtubule organizing center		p11.32	GO:0005815
ENSG00000176105	YES1	Fc-gamma receptor signaling pathway involved in phagocytosis		p11.32	GO:0038096
ENSG00000176105	YES1	leukocyte migration		p11.32	GO:0050900
ENSG00000176105	YES1	innate immune response		p11.32	GO:0045087
ENSG00000176105	YES1	signaling receptor binding		p11.32	GO:0005102
ENSG00000176105	YES1	cell differentiation		p11.32	GO:0030154
ENSG00000176105	YES1	extrinsic component of cytoplasmic side of plasma membrane		p11.32	GO:0031234
ENSG00000176105	YES1	extracellular exosome		p11.32	GO:0070062
ENSG00000176105	YES1	enzyme binding		p11.32	GO:0019899
ENSG00000176105	YES1	regulation of cell population proliferation		p11.32	GO:0042127
ENSG00000176105	YES1	ion channel binding		p11.32	GO:0044325
ENSG00000176105	YES1	cellular protein modification process		p11.32	GO:0006464
ENSG00000176105	YES1	ephrin receptor signaling pathway		p11.32	GO:0048013
ENSG00000176105	YES1	phosphotyrosine residue binding		p11.32	GO:0001784
ENSG00000176105	YES1	transmembrane receptor protein tyrosine kinase signaling pathway		p11.32	GO:0007169
ENSG00000176105	YES1	T cell costimulation		p11.32	GO:0031295
ENSG00000176105	YES1	peptidyl-tyrosine autophosphorylation		p11.32	GO:0038083
ENSG00000176105	YES1	regulation of vascular permeability		p11.32	GO:0043114
ENSG00000176105	YES1			p11.32	
ENSG00000266171				p11.32	
ENSG00000264339				p11.32	
ENSG00000264635				p11.32	
ENSG00000206687	RNU1-109P			p11.32	
ENSG00000273355				p11.32	
ENSG00000266575	BOLA2P1			p11.32	
ENSG00000264179				p11.32	
ENSG00000265671				p11.32	
ENSG00000265179				p11.32	
ENSG00000141433	ADCYAP1	G protein-coupled receptor signaling pathway		p11.32	GO:0007186
ENSG00000141433	ADCYAP1	extracellular region		p11.32	GO:0005576
ENSG00000141433	ADCYAP1	hormone activity		p11.32	GO:0005179
ENSG00000141433	ADCYAP1	insulin secretion		p11.32	GO:0030073
ENSG00000141433	ADCYAP1	pituitary adenylate cyclase activating polypeptide activity		p11.32	GO:0016521
ENSG00000141433	ADCYAP1	pituitary adenylate cyclase-activating polypeptide receptor binding		p11.32	GO:0031858
ENSG00000141433	ADCYAP1	protein binding		p11.32	GO:0005515
ENSG00000141433	ADCYAP1	nervous system development		p11.32	GO:0007399
ENSG00000141433	ADCYAP1	neuropeptide signaling pathway		p11.32	GO:0007218
ENSG00000141433	ADCYAP1	neuron projection		p11.32	GO:0043005
ENSG00000141433	ADCYAP1	positive regulation of transcription by RNA polymerase II		p11.32	GO:0045944
ENSG00000141433	ADCYAP1	positive regulation of GTPase activity		p11.32	GO:0043547
ENSG00000141433	ADCYAP1	regulation of protein localization		p11.32	GO:0032880
ENSG00000141433	ADCYAP1	positive regulation of ERK1 and ERK2 cascade		p11.32	GO:0070374
ENSG00000141433	ADCYAP1	neuron projection development		p11.32	GO:0031175
ENSG00000141433	ADCYAP1	cell-cell signaling		p11.32	GO:0007267
ENSG00000141433	ADCYAP1	neuropeptide hormone activity		p11.32	GO:0005184
ENSG00000141433	ADCYAP1	cAMP-mediated signaling		p11.32	GO:0019933
ENSG00000141433	ADCYAP1	positive regulation of cytosolic calcium ion concentration		p11.32	GO:0007204
ENSG00000141433	ADCYAP1	positive regulation of cold-induced thermogenesis		p11.32	GO:0120162
ENSG00000141433	ADCYAP1	signaling receptor binding		p11.32	GO:0005102
ENSG00000141433	ADCYAP1	adenylate cyclase-activating G protein-coupled receptor signaling pathway		p11.32	GO:0007189
ENSG00000141433	ADCYAP1	positive regulation of protein kinase activity		p11.32	GO:0045860
ENSG00000141433	ADCYAP1	perikaryon		p11.32	GO:0043204
ENSG00000141433	ADCYAP1	regulation of G protein-coupled receptor signaling pathway		p11.32	GO:0008277
ENSG00000141433	ADCYAP1	female pregnancy		p11.32	GO:0007565
ENSG00000141433	ADCYAP1	peptide hormone receptor binding		p11.32	GO:0051428
ENSG00000141433	ADCYAP1	activation of adenylate cyclase activity		p11.32	GO:0007190
ENSG00000141433	ADCYAP1	positive regulation of growth hormone secretion		p11.32	GO:0060124
ENSG00000141433	ADCYAP1	positive regulation of chemokine (C-C motif) ligand 5 production		p11.32	GO:0071651
ENSG00000141433	ADCYAP1	ovarian follicle development		p11.32	GO:0001541
ENSG00000141433	ADCYAP1	behavioral fear response		p11.32	GO:0001662
ENSG00000141433	ADCYAP1	histamine secretion		p11.32	GO:0001821
